Years,Income Quantiles,Categories,%expenditure,total exp
2006,4, Cereals,9.296577,130033.7
2006,4,Pulses – Split and Whole / Washed and Unwashed ,1.165604,16368.53
2006,4,Edible Oils and Fats,4.129207,59011.17
2006,4,Tea and Coffee,1.246313,17737.63
2006,4,Baked and Fried Products,0.7470353,11459.29
2006,4,Miscellaneous Food Items,0.7743408,11295.74
2006,4,FUEL AND LIGHTING ,8.083929,115612.3
2006,4, Personal Care Articles,1.693936,24894.27
2006,4, Personal Care Services,0.6928913,10113.88
2006,4, Household laundry Cleaning and Paper Articles,1.385718,19765.8
2006,4, Tobacco and Chewing Products,2.540523,35743.42
2006,4,Recreation & reading,1.589416,25709.7
2006,4, Personal Transport and Travelling ,5.551907,83052.29
2006,4,Other Miscellaneous Household Expenses on Goods and Services,4.887426,75272.87
2006,4," Clothing, Clothing material and services",4.8166,69590.19
2006,4,. Footwear and repair charges,1.298735,18603.64
2006,4,Personal effects and service and repair charges,0.2269894,3300.901
2006,4, House rent and housing expenses,13.60695,213976.5
2006,4,". Chinaware, Earthenware, Plastic ware etc. for daily use and other household effects",0.3824232,5830.575
2006,4, Expenditure on Medical Care,4.34019,61958.3
2006,4,"Recreational, travel & transport expenditure",0.6630579,10180.43
2006,4, Educational and Professional Stationary Expenditure ,4.28629,67155.85
2006,4,Taxes & Fines and all Other Miscellaneous Expenditure ,4.193022,60663.69
2006,5,milkproducts,9.439833,234366.8
2006,5,meet/poultry/fish,5.34989,141245
2006,5,fruits,1.867557,49267.12
2006,5,dryfruits,0.900822,29572.92
2006,5,vegetables,3.118553,72157.77
2006,5,Condiments & Spices (Whole & Powder ),1.155856,26605.95
2006,5,"Sugar, Honey and Sugar Preparations ",3.104361,72858.27
2006,5,Non Alcoholic Beverages,1.122213,31695.86
2006,5," Readymade Food, Drinks etc. ",2.866666,86091.09
2006,5, Cereals,6.711317,150522.4
2006,5,Pulses – Split and Whole / Washed and Unwashed ,0.8479345,19247.62
2006,5,Edible Oils and Fats,3.245847,75834.42
2006,5,Tea and Coffee,0.9315051,21529.28
2006,5,Baked and Fried Products,0.6979491,19539.32
2006,5,Miscellaneous Food Items,0.5060005,12715.72
2006,5,FUEL AND LIGHTING ,7.387804,192173.3
2006,5, Personal Care Articles,1.562088,40158.61
2006,5, Personal Care Services,0.6819162,18977.55
2006,5, Household laundry Cleaning and Paper Articles,1.076766,25809.17
2006,5, Tobacco and Chewing Products,1.996945,45823.04
2006,5,Recreation & reading,1.289119,40996.35
2006,5, Personal Transport and Travelling ,6.54807,190379.3
2006,5,Other Miscellaneous Household Expenses on Goods and Services,6.40514,196038.2
2006,5," Clothing, Clothing material and services",4.42967,110690.5
2006,5,. Footwear and repair charges,1.150907,28175.68
2006,5,Personal effects and service and repair charges,0.2220788,5972.776
2006,5, House rent and housing expenses,15.45778,479993.4
2006,5,". Chinaware, Earthenware, Plastic ware etc. for daily use and other household effects",0.3092406,7939.321
2006,5, Expenditure on Medical Care,4.80665,125881.4
2006,5,"Recreational, travel & transport expenditure",1.241189,47090.94
2006,5, Educational and Professional Stationary Expenditure ,5.939595,186603.9
2006,5,Taxes & Fines and all Other Miscellaneous Expenditure ,5.589604,156925.6
2006,Total,milkproducts,10.88397,141531
2006,Total,meet/poultry/fish,5.316729,75528.73
2006,Total,fruits,1.884763,26990.86
2006,Total,dryfruits,1.016082,19493.22
2006,Total,vegetables,4.51271,51676.27
2006,Total,Condiments & Spices (Whole & Powder ),1.641824,18939.24
2006,Total,"Sugar, Honey and Sugar Preparations ",4.268673,49966.54
2006,Total,Non Alcoholic Beverages,1.315192,22029.38
2006,Total," Readymade Food, Drinks etc. ",4.441789,57040.24
2006,Total, Cereals,10.37553,116660.7
2006,Total,Pulses – Split and Whole / Washed and Unwashed ,1.233379,14124.9
2006,Total,Edible Oils and Fats,4.410568,52030.45
2006,Total,Tea and Coffee,1.312009,15355.89
2006,Total,Baked and Fried Products,0.7701001,11756.22
2006,Total,Miscellaneous Food Items,0.8425946,10102.85
2006,Total,FUEL AND LIGHTING ,8.519737,107337.3
2006,Total, Personal Care Articles,1.616079,21438.87
2006,Total, Personal Care Services,0.7154292,9729.642
2006,Total, Household laundry Cleaning and Paper Articles,1.490386,17489.99
2006,Total, Tobacco and Chewing Products,2.809378,31575.14
2006,Total,Recreation & reading,1.526341,31176.86
2006,Total, Personal Transport and Travelling ,5.33378,81165.94
2006,Total,Other Miscellaneous Household Expenses on Goods and Services,4.813587,81691.27
2006,Total," Clothing, Clothing material and services",4.8078,61754.55
2006,Total,. Footwear and repair charges,1.262029,16032.3
2006,Total,Personal effects and service and repair charges,0.2396215,3234.042
2006,Total, House rent and housing expenses,12.68956,203633.8
2006,Total,". Chinaware, Earthenware, Plastic ware etc. for daily use and other household effects",0.3611829,4747.394
2006,Total, Expenditure on Medical Care,4.365068,59096.31
2006,Total,"Recreational, travel & transport expenditure",0.778296,18103.7
2006,Total, Educational and Professional Stationary Expenditure ,3.904719,78089.03
2006,Total,Taxes & Fines and all Other Miscellaneous Expenditure ,4.104011,64512.64
2007,1,milkproducts,13.14066,127795.6
2007,1,meet/poultry/fish,5.213372,49888.97
2007,1,fruits,1.94309,18043.09
2007,1,dryfruits,0.8499957,8434.899
2007,1,vegetables,5.049427,45761.29
2007,1,Condiments & Spices (Whole & Powder ),1.949363,17709.55
2007,1,"Sugar, Honey and Sugar Preparations ",3.705504,33952.53
2007,1,Non Alcoholic Beverages,1.487198,15725.76
2007,1," Readymade Food, Drinks etc. ",7.433802,63097.77
2007,1, Cereals,11.82943,110802.8
2007,1,Pulses – Split and Whole / Washed and Unwashed ,1.467186,13533.7
2007,1,Edible Oils and Fats,7.280556,66841.8
2007,1,Tea and Coffee,1.20876,11195.44
2007,1,Baked and Fried Products,0.9584279,8673.532
2007,1,Miscellaneous Food Items,1.114813,10626.83
2007,1,FUEL AND LIGHTING ,8.914871,81745.96
2007,1, Personal Care Articles,1.563524,14326.73
2007,1, Personal Care Services,0.7404172,6708.146
2007,1, Household laundry Cleaning and Paper Articles,1.674488,15095.85
2007,1, Tobacco and Chewing Products,3.585282,32165.13
2007,1,Recreation & reading,1.887618,20606.93
2007,1, Personal Transport and Travelling ,4.419547,41045.88
2007,1,Other Miscellaneous Household Expenses on Goods and Services,3.975551,41480.86
2007,1," Clothing, Clothing material and services",4.567977,42059.85
2007,1,. Footwear and repair charges,1.213706,11192.01
2007,1,Personal effects and service and repair charges,0.267268,2471.599
2007,1, House rent and housing expenses,12.87924,135457.6
2007,1,". Chinaware, Earthenware, Plastic ware etc. for daily use and other household effects",0.3851988,3521.401
2007,1, Expenditure on Medical Care,3.612715,32888.39
2007,1,"Recreational, travel & transport expenditure",0.524524,5250.212
2007,1, Educational and Professional Stationary Expenditure ,1.795487,18970.71
2007,1,Taxes & Fines and all Other Miscellaneous Expenditure ,3.092234,30457.64
2007,2,milkproducts,11.91346,166112.6
2007,2,meet/poultry/fish,4.959812,67009.29
2007,2,fruits,1.87232,25606.42
2007,2,dryfruits,1.063089,14598.65
2007,2,vegetables,4.578687,59818.07
2007,2,Condiments & Spices (Whole & Powder ),1.825341,24085.74
2007,2,"Sugar, Honey and Sugar Preparations ",3.536244,46650.1
2007,2,Non Alcoholic Beverages,1.433842,19707
2007,2," Readymade Food, Drinks etc. ",3.725569,45060.3
2007,2, Cereals,11.39627,152065.6
2007,2,Pulses – Split and Whole / Washed and Unwashed ,1.362656,17945.98
2007,2,Edible Oils and Fats,6.562058,86954.64
2007,2,Tea and Coffee,1.221911,16368.06
2007,2,Baked and Fried Products,0.7396352,10036.08
2007,2,Miscellaneous Food Items,0.944534,12766.39
2007,2,FUEL AND LIGHTING ,8.451337,111851.5
2007,2, Personal Care Articles,1.590585,21129.32
2007,2, Personal Care Services,0.6950284,9154.844
2007,2, Household laundry Cleaning and Paper Articles,1.49587,19617.46
2007,2, Tobacco and Chewing Products,2.977903,39011.46
2007,2,Recreation & reading,1.88019,26926.4
2007,2, Personal Transport and Travelling ,4.746128,63552
2007,2,Other Miscellaneous Household Expenses on Goods and Services,4.561119,64036.79
2007,2," Clothing, Clothing material and services",4.695881,62292.61
2007,2,. Footwear and repair charges,1.241826,16422.17
2007,2,Personal effects and service and repair charges,0.2630825,3519.404
2007,2, House rent and housing expenses,13.1911,194853.5
2007,2,". Chinaware, Earthenware, Plastic ware etc. for daily use and other household effects",0.3796271,5007.643
2007,2, Expenditure on Medical Care,3.434775,46083.41
2007,2,"Recreational, travel & transport expenditure",0.4826481,6446.779
2007,2, Educational and Professional Stationary Expenditure ,2.517175,35247.82
2007,2,Taxes & Fines and all Other Miscellaneous Expenditure ,3.245857,43842.28
2007,3,milkproducts,11.85035,207770.2
2007,3,meet/poultry/fish,4.970291,85884.28
2007,3,fruits,1.849803,31638.54
2007,3,dryfruits,0.795364,13399.21
2007,3,vegetables,4.213161,70234.22
2007,3,Condiments & Spices (Whole & Powder ),1.745452,29273.72
2007,3,"Sugar, Honey and Sugar Preparations ",3.136117,52407.05
2007,3,Non Alcoholic Beverages,1.299164,23203.5
2007,3," Readymade Food, Drinks etc. ",4.228055,65738.03
2007,3, Cereals,10.40489,173998.9
2007,3,Pulses – Split and Whole / Washed and Unwashed ,1.245961,20824.38
2007,3,Edible Oils and Fats,6.03059,101079.5
2007,3,Tea and Coffee,1.090983,18380.54
2007,3,Baked and Fried Products,0.7760712,13771.21
2007,3,Miscellaneous Food Items,0.8251769,13730.57
2007,3,FUEL AND LIGHTING ,8.068663,135433.6
2007,3, Personal Care Articles,1.660348,28181.69
2007,3, Personal Care Services,0.6764907,11377.16
2007,3, Household laundry Cleaning and Paper Articles,1.383096,22862.24
2007,3, Tobacco and Chewing Products,2.739977,44624.25
2007,3,Recreation & reading,1.667581,30223.47
2007,3, Personal Transport and Travelling ,5.148513,87660.57
2007,3,Other Miscellaneous Household Expenses on Goods and Services,5.02767,89861.88
2007,3," Clothing, Clothing material and services",4.52066,75777.64
2007,3,. Footwear and repair charges,1.2152,20256.18
2007,3,Personal effects and service and repair charges,0.2455516,4124.1
2007,3, House rent and housing expenses,13.82332,264763.5
2007,3,". Chinaware, Earthenware, Plastic ware etc. for daily use and other household effects",0.3499772,5898.885
2007,3, Expenditure on Medical Care,3.438766,57663.42
2007,3,"Recreational, travel & transport expenditure",0.4677164,8183.221
2007,3, Educational and Professional Stationary Expenditure ,3.268609,59497.82
2007,3,Taxes & Fines and all Other Miscellaneous Expenditure ,3.320372,56771.38
2007,4,milkproducts,11.35917,253094.8
2007,4,meet/poultry/fish,5.113726,114433.9
2007,4,fruits,1.954608,43412.07
2007,4,dryfruits,0.8273285,18529.39
2007,4,vegetables,3.778336,79948.09
2007,4,Condiments & Spices (Whole & Powder ),1.564491,33257.44
2007,4,"Sugar, Honey and Sugar Preparations ",2.755451,58772.94
2007,4,Non Alcoholic Beverages,1.206804,27537.85
2007,4," Readymade Food, Drinks etc. ",2.363022,53913.66
2007,4, Cereals,9.297555,196846.5
2007,4,Pulses – Split and Whole / Washed and Unwashed ,1.154071,24408.6
2007,4,Edible Oils and Fats,5.541989,117663.9
2007,4,Tea and Coffee,0.94951,20225.15
2007,4,Baked and Fried Products,0.7807818,17712.67
2007,4,Miscellaneous Food Items,0.6470828,13616.22
2007,4,FUEL AND LIGHTING ,7.833073,167179.9
2007,4, Personal Care Articles,1.704606,37124.43
2007,4, Personal Care Services,0.689313,15184.23
2007,4, Household laundry Cleaning and Paper Articles,1.249169,26352.19
2007,4, Tobacco and Chewing Products,2.375773,49296.75
2007,4,Recreation & reading,1.470591,34201.64
2007,4, Personal Transport and Travelling ,5.703026,127653.5
2007,4,Other Miscellaneous Household Expenses on Goods and Services,5.369965,121973.2
2007,4," Clothing, Clothing material and services",4.444559,95941.04
2007,4,. Footwear and repair charges,1.203548,25714.88
2007,4,Personal effects and service and repair charges,0.2136258,4631.35
2007,4, House rent and housing expenses,14.30744,341749.8
2007,4,". Chinaware, Earthenware, Plastic ware etc. for daily use and other household effects",0.333354,7189.732
2007,4, Expenditure on Medical Care,3.660687,78211.48
2007,4,"Recreational, travel & transport expenditure",0.6041893,14724.51
2007,4, Educational and Professional Stationary Expenditure ,4.197033,98927.75
2007,4,Taxes & Fines and all Other Miscellaneous Expenditure ,3.841061,85885.31
2007,5,milkproducts,10.57269,380792
2007,5,meet/poultry/fish,5.018716,190789.7
2007,5,fruits,1.915801,73756.01
2007,5,dryfruits,0.8387779,34702.18
2007,5,vegetables,3.005158,100326.8
2007,5,Condiments & Spices (Whole & Powder ),1.202152,40325.91
2007,5,"Sugar, Honey and Sugar Preparations ",2.329473,80717.49
2007,5,Non Alcoholic Beverages,1.118962,47373.1
2007,5," Readymade Food, Drinks etc. ",2.374244,106392.5
2007,5, Cereals,7.339003,241019.2
2007,5,Pulses – Split and Whole / Washed and Unwashed ,0.8958652,29704.52
2007,5,Edible Oils and Fats,4.498196,150759.1
2007,5,Tea and Coffee,0.7600821,25752.8
2007,5,Baked and Fried Products,0.7327041,29876.29
2007,5,Miscellaneous Food Items,0.5001374,17875.56
2007,5,FUEL AND LIGHTING ,7.007728,252794.7
2007,5, Personal Care Articles,1.625859,59594.34
2007,5, Personal Care Services,0.7695639,32768.95
2007,5, Household laundry Cleaning and Paper Articles,1.021716,35681.2
2007,5, Tobacco and Chewing Products,1.894345,64157.82
2007,5,Recreation & reading,1.268028,54393.29
2007,5, Personal Transport and Travelling ,7.021449,284947.6
2007,5,Other Miscellaneous Household Expenses on Goods and Services,6.953464,296274.9
2007,5," Clothing, Clothing material and services",4.512496,164830.6
2007,5,. Footwear and repair charges,1.171744,41620.08
2007,5,Personal effects and service and repair charges,0.2301965,8993.535
2007,5, House rent and housing expenses,14.17058,593886
2007,5,". Chinaware, Earthenware, Plastic ware etc. for daily use and other household effects",0.3555134,14217.32
2007,5, Expenditure on Medical Care,3.875394,144942.8
2007,5,"Recreational, travel & transport expenditure",0.9837997,48722.76
2007,5, Educational and Professional Stationary Expenditure ,6.266883,279489.9
2007,5,Taxes & Fines and all Other Miscellaneous Expenditure ,4.825837,197829.8
2007,Total,milkproducts,11.76215,227391.4
2007,Total,meet/poultry/fish,5.050662,105038.6
2007,Total,fruits,1.90705,40898.67
2007,Total,dryfruits,0.8586532,22208.41
2007,Total,vegetables,4.126352,71179.68
2007,Total,Condiments & Spices (Whole & Powder ),1.658668,28907.05
2007,Total,"Sugar, Honey and Sugar Preparations ",3.093687,54414.73
2007,Total,Non Alcoholic Beverages,1.248213,31191.77
2007,Total," Readymade Food, Drinks etc. ",3.802885,69636.27
2007,Total, Cereals,10.05857,174844.7
2007,Total,Pulses – Split and Whole / Washed and Unwashed ,1.225416,21288.39
2007,Total,Edible Oils and Fats,5.984826,104589.7
2007,Total,Tea and Coffee,1.045132,18416.27
2007,Total,Baked and Fried Products,0.7823036,17669.76
2007,Total,Miscellaneous Food Items,0.7910407,13904.67
2007,Total,FUEL AND LIGHTING ,8.059918,149326.4
2007,Total, Personal Care Articles,1.629355,31951.05
2007,Total, Personal Care Services,0.7136509,15114.09
2007,Total, Household laundry Cleaning and Paper Articles,1.365808,23881.21
2007,Total, Tobacco and Chewing Products,2.738522,45313.29
2007,Total,Recreation & reading,1.496422,39528.73
2007,Total, Personal Transport and Travelling ,5.429368,122571.7
2007,Total,Other Miscellaneous Household Expenses on Goods and Services,5.229156,126231.3
2007,Total," Clothing, Clothing material and services",4.547873,87818.03
2007,Total,. Footwear and repair charges,1.20933,22979.74
2007,Total,Personal effects and service and repair charges,0.2435319,4802.186
2007,Total, House rent and housing expenses,13.67438,304722.4
2007,Total,". Chinaware, Earthenware, Plastic ware etc. for daily use and other household effects",0.3605797,7157.651
2007,Total, Expenditure on Medical Care,3.603333,71570.84
2007,Total,"Recreational, travel & transport expenditure",0.64234,19482.61
2007,Total, Educational and Professional Stationary Expenditure ,3.944415,115149.2
2007,Total,Taxes & Fines and all Other Miscellaneous Expenditure ,3.693192,85460.57
2010,1,milkproducts,12.80164,284617.8
2010,1,meet/poultry/fish,5.028638,110632.8
2010,1,fruits,1.925995,40559.98
2010,1,dryfruits,1.129221,23452.94
2010,1,vegetables,5.708787,118068.1
2010,1,Condiments & Spices (Whole & Powder ),2.28479,47460.03
2010,1,"Sugar, Honey and Sugar Preparations ",5.593783,116121.1
2010,1,Non Alcoholic Beverages,1.486679,32688.1
2010,1," Readymade Food, Drinks etc. ",8.420089,156160.1
2010,1, Cereals,12.51759,262562.2
2010,1,Pulses – Split and Whole / Washed and Unwashed ,1.574883,32671.69
2010,1,Edible Oils and Fats,6.391449,133977.9
2010,1,Tea and Coffee,1.379567,28803.71
2010,1,Baked and Fried Products,0.8106269,17330.81
2010,1,Miscellaneous Food Items,1.082274,23722.12
2010,1,FUEL AND LIGHTING ,9.186889,189661.8
2010,1, Personal Care Articles,1.588466,33012.78
2010,1, Personal Care Services,0.8159767,16811.3
2010,1, Household laundry Cleaning and Paper Articles,1.523109,31526.93
2010,1, Tobacco and Chewing Products,3.43215,70926.97
2010,1,Recreation & reading,1.635744,37941.63
2010,1, Personal Transport and Travelling ,4.285372,88069.05
2010,1,Other Miscellaneous Household Expenses on Goods and Services,4.178189,98128.25
2010,1," Clothing, Clothing material and services",4.089837,85036.8
2010,1,. Footwear and repair charges,0.99811,20530.75
2010,1,Personal effects and service and repair charges,0.1854319,3951.897
2010,1, House rent and housing expenses,11.43778,254836.4
2010,1,". Chinaware, Earthenware, Plastic ware etc. for daily use and other household effects",0.2691244,5672.416
2010,1, Expenditure on Medical Care,3.028269,61759.55
2010,1,"Recreational, travel & transport expenditure",0.4919048,11487.65
2010,1, Educational and Professional Stationary Expenditure ,1.856033,43232.81
2010,1,Taxes & Fines and all Other Miscellaneous Expenditure ,2.270207,49437.44
2010,2,milkproducts,12.65937,414245.3
2010,2,meet/poultry/fish,5.202385,164331.5
2010,2,fruits,1.815918,56553.03
2010,2,dryfruits,0.8494455,26804.52
2010,2,vegetables,5.266123,159106.6
2010,2,Condiments & Spices (Whole & Powder ),2.156447,65441.39
2010,2,"Sugar, Honey and Sugar Preparations ",5.254875,159887.3
2010,2,Non Alcoholic Beverages,1.37942,43096.29
2010,2," Readymade Food, Drinks etc. ",2.908411,85249.7
2010,2, Cereals,12.06465,368323.3
2010,2,Pulses – Split and Whole / Washed and Unwashed ,1.572052,47812.6
2010,2,Edible Oils and Fats,6.038491,185861.6
2010,2,Tea and Coffee,1.314256,40661.18
2010,2,Baked and Fried Products,0.7615582,23669.74
2010,2,Miscellaneous Food Items,1.008635,31548.78
2010,2,FUEL AND LIGHTING ,8.398263,254403.3
2010,2, Personal Care Articles,1.688826,51777.33
2010,2, Personal Care Services,0.7685509,23376.7
2010,2, Household laundry Cleaning and Paper Articles,1.452725,43879.73
2010,2, Tobacco and Chewing Products,2.924102,89815.66
2010,2,Recreation & reading,1.38194,43926.25
2010,2, Personal Transport and Travelling ,4.627415,141964.8
2010,2,Other Miscellaneous Household Expenses on Goods and Services,4.004643,128289.4
2010,2," Clothing, Clothing material and services",4.26312,130414.8
2010,2,. Footwear and repair charges,1.025864,31166.03
2010,2,Personal effects and service and repair charges,0.185919,5794.791
2010,2, House rent and housing expenses,11.6068,400125.5
2010,2,". Chinaware, Earthenware, Plastic ware etc. for daily use and other household effects",0.2708184,8314.581
2010,2, Expenditure on Medical Care,2.712361,82634.03
2010,2,"Recreational, travel & transport expenditure",0.5040455,16469.29
2010,2, Educational and Professional Stationary Expenditure ,2.425504,78076.18
2010,2,Taxes & Fines and all Other Miscellaneous Expenditure ,2.473874,78550.29
2010,3,milkproducts,12.34574,493398.8
2010,3,meet/poultry/fish,5.2838,209593.2
2010,3,fruits,1.803193,70918.92
2010,3,dryfruits,0.9184769,36565.57
2010,3,vegetables,4.979034,188995
2010,3,Condiments & Spices (Whole & Powder ),2.048925,77895.38
2010,3,"Sugar, Honey and Sugar Preparations ",4.888628,183987.6
2010,3,Non Alcoholic Beverages,1.272145,49871.36
2010,3," Readymade Food, Drinks etc. ",2.555965,102242.8
2010,3, Cereals,11.37932,433489.2
2010,3,Pulses – Split and Whole / Washed and Unwashed ,1.520062,57659.37
2010,3,Edible Oils and Fats,5.738264,220258.2
2010,3,Tea and Coffee,1.271025,48508.03
2010,3,Baked and Fried Products,0.7996643,31210.95
2010,3,Miscellaneous Food Items,0.8830881,35073.67
2010,3,FUEL AND LIGHTING ,7.94888,303581.1
2010,3, Personal Care Articles,1.660453,64769.43
2010,3, Personal Care Services,0.7575816,29173.08
2010,3, Household laundry Cleaning and Paper Articles,1.340438,51253.58
2010,3, Tobacco and Chewing Products,2.48614,95234.45
2010,3,Recreation & reading,1.200975,49252.72
2010,3, Personal Transport and Travelling ,5.071366,199086.5
2010,3,Other Miscellaneous Household Expenses on Goods and Services,4.403159,173753.8
2010,3," Clothing, Clothing material and services",4.396329,169731.5
2010,3,. Footwear and repair charges,1.030207,39203.92
2010,3,Personal effects and service and repair charges,0.1875807,7405.901
2010,3, House rent and housing expenses,11.71796,495447.6
2010,3,". Chinaware, Earthenware, Plastic ware etc. for daily use and other household effects",0.2616068,10116.23
2010,3, Expenditure on Medical Care,2.830883,111619.4
2010,3,"Recreational, travel & transport expenditure",0.586522,23683.7
2010,3, Educational and Professional Stationary Expenditure ,2.989409,122345.4
2010,3,Taxes & Fines and all Other Miscellaneous Expenditure ,2.562701,101967.5
2010,4,milkproducts,11.72147,587436.6
2010,4,meet/poultry/fish,5.42945,271731.1
2010,4,fruits,1.858946,92684.14
2010,4,dryfruits,0.8960792,45650.69
2010,4,vegetables,4.67399,221171.3
2010,4,Condiments & Spices (Whole & Powder ),1.834656,87615.95
2010,4,"Sugar, Honey and Sugar Preparations ",4.612668,218128.7
2010,4,Non Alcoholic Beverages,1.230168,62743.96
2010,4," Readymade Food, Drinks etc. ",2.39208,120177
2010,4, Cereals,10.35162,489513.6
2010,4,Pulses – Split and Whole / Washed and Unwashed ,1.427234,67962.41
2010,4,Edible Oils and Fats,5.362168,256989.6
2010,4,Tea and Coffee,1.185372,56489.71
2010,4,Baked and Fried Products,0.8439458,42842.08
2010,4,Miscellaneous Food Items,0.7761326,37409.85
2010,4,FUEL AND LIGHTING ,7.555765,363275.6
2010,4, Personal Care Articles,1.697765,113408.3
2010,4, Personal Care Services,0.7236168,35220.74
2010,4, Household laundry Cleaning and Paper Articles,1.201903,57376.73
2010,4, Tobacco and Chewing Products,2.221381,105593.6
2010,4,Recreation & reading,1.071354,54191.77
2010,4, Personal Transport and Travelling ,5.8938,294488.2
2010,4,Other Miscellaneous Household Expenses on Goods and Services,4.544522,227107.2
2010,4," Clothing, Clothing material and services",4.377846,211467.4
2010,4,. Footwear and repair charges,1.013904,48216.72
2010,4,Personal effects and service and repair charges,0.1771121,8653.973
2010,4, House rent and housing expenses,12.57637,688617.8
2010,4,". Chinaware, Earthenware, Plastic ware etc. for daily use and other household effects",0.2420759,11622.21
2010,4, Expenditure on Medical Care,2.773361,131165.8
2010,4,"Recreational, travel & transport expenditure",0.6051518,30728.92
2010,4, Educational and Professional Stationary Expenditure ,3.681528,188083.8
2010,4,Taxes & Fines and all Other Miscellaneous Expenditure ,3.04739,151483.8
2010,5,milkproducts,11.36998,902861.1
2010,5,meet/poultry/fish,5.317711,442419
2010,5,fruits,2.023154,168379.9
2010,5,dryfruits,0.962998,97484.02
2010,5,vegetables,3.682378,269377.3
2010,5,Condiments & Spices (Whole & Powder ),1.532221,114311
2010,5,"Sugar, Honey and Sugar Preparations ",3.64721,273413.2
2010,5,Non Alcoholic Beverages,1.17681,106516
2010,5," Readymade Food, Drinks etc. ",2.406647,216910.8
2010,5, Cereals,7.850931,567709.5
2010,5,Pulses – Split and Whole / Washed and Unwashed ,1.112578,81488.71
2010,5,Edible Oils and Fats,4.410318,328360.5
2010,5,Tea and Coffee,0.8937841,66579.68
2010,5,Baked and Fried Products,0.8162799,70922.38
2010,5,Miscellaneous Food Items,0.5849862,46535.73
2010,5,FUEL AND LIGHTING ,7.307213,587275.2
2010,5, Personal Care Articles,1.640785,131547.3
2010,5, Personal Care Services,0.7788088,69230.41
2010,5, Household laundry Cleaning and Paper Articles,1.029422,80322.53
2010,5, Tobacco and Chewing Products,1.794031,134040.1
2010,5,Recreation & reading,0.8610709,78016.83
2010,5, Personal Transport and Travelling ,6.34927,554449.8
2010,5,Other Miscellaneous Household Expenses on Goods and Services,5.385007,510571.1
2010,5," Clothing, Clothing material and services",4.327287,351002.3
2010,5,. Footwear and repair charges,0.9068788,70602.93
2010,5,Personal effects and service and repair charges,0.2020831,18538.98
2010,5, House rent and housing expenses,13.72098,1314025
2010,5,". Chinaware, Earthenware, Plastic ware etc. for daily use and other household effects",0.2283095,18643.14
2010,5, Expenditure on Medical Care,2.946237,239100.8
2010,5,"Recreational, travel & transport expenditure",1.152739,135492.2
2010,5, Educational and Professional Stationary Expenditure ,5.340457,546881.7
2010,5,Taxes & Fines and all Other Miscellaneous Expenditure ,4.748443,425972.3
2010,Total,milkproducts,12.18196,536372
2010,Total,meet/poultry/fish,5.261688,247281.1
2010,Total,fruits,1.889141,90129.88
2010,Total,dryfruits,0.9406683,57651.86
2010,Total,vegetables,4.866336,190889.4
2010,Total,Condiments & Spices (Whole & Powder ),1.973166,78334.75
2010,Total,"Sugar, Honey and Sugar Preparations ",4.805541,189920.4
2010,Total,Non Alcoholic Beverages,1.270073,68138.15
2010,Total," Readymade Food, Drinks etc. ",3.406189,141895.1
2010,Total, Cereals,10.84282,423350.5
2010,Total,Pulses – Split and Whole / Washed and Unwashed ,1.441822,57416.51
2010,Total,Edible Oils and Fats,5.591976,224635.6
2010,Total,Tea and Coffee,1.208136,48215.26
2010,Total,Baked and Fried Products,0.8081714,40804.7
2010,Total,Miscellaneous Food Items,0.8464272,35730.8
2010,Total,FUEL AND LIGHTING ,8.089056,338534
2010,Total, Personal Care Articles,1.655677,78629.07
2010,Total, Personal Care Services,0.7686712,34910.73
2010,Total, Household laundry Cleaning and Paper Articles,1.311507,52741.87
2010,Total, Tobacco and Chewing Products,2.580666,98812.01
2010,Total,Recreation & reading,1.087803,59856.84
2010,Total, Personal Transport and Travelling ,5.258449,258569.4
2010,Total,Other Miscellaneous Household Expenses on Goods and Services,4.512723,232616.5
2010,Total," Clothing, Clothing material and services",4.288136,188725.9
2010,Total,. Footwear and repair charges,0.9948062,41862.32
2010,Total,Personal effects and service and repair charges,0.1878777,9154.427
2010,Total, House rent and housing expenses,12.20948,628532.5
2010,Total,". Chinaware, Earthenware, Plastic ware etc. for daily use and other household effects",0.2542242,10939.02
2010,Total, Expenditure on Medical Care,2.856345,124670.1
2010,Total,"Recreational, travel & transport expenditure",0.7232459,53940.46
2010,Total, Educational and Professional Stationary Expenditure ,3.485447,224622.4
2010,Total,Taxes & Fines and all Other Miscellaneous Expenditure ,3.094307,172436.1
2011,1,milkproducts,13.20578,367214.7
2011,1,meet/poultry/fish,5.043571,146564.9
2011,1,fruits,1.608438,43814.13
2011,1,dryfruits,0.7421461,20488.93
2011,1,vegetables,5.52947,145237.9
2011,1,Condiments & Spices (Whole & Powder ),2.06415,53857.43
2011,1,"Sugar, Honey and Sugar Preparations ",4.1389,109343.6
2011,1,Non Alcoholic Beverages,1.324852,39111.75
2011,1," Readymade Food, Drinks etc. ",7.732247,203342.8
2011,1, Cereals,11.16619,297648.3
2011,1,Pulses – Split and Whole / Washed and Unwashed ,1.355197,35764.11
2011,1,Edible Oils and Fats,6.606403,174424.8
2011,1,Tea and Coffee,1.488565,39176.58
2011,1,Baked and Fried Products,0.6479513,17406.5
2011,1,Miscellaneous Food Items,0.9137968,25460.1
2011,1,FUEL AND LIGHTING ,9.472596,251406.2
2011,1, Personal Care Articles,1.715675,45264.53
2011,1, Personal Care Services,0.75275,20024.74
